minimum,maximum,average
1616,512,594.7733333333333
2 096,512,610.9333333333333
1512,512,608.7733333333333
1232,512,572.3466666666667
1536,512,579.36
6264,512,598.32
1280,0,607.04
1216,0,587.04
1984,0,611.5733333333334
1096,0,587.7333333333333
1832,0,668.2133333333334
1456,0,667.8133333333334
1488,0,655.2
1864,0,678.6666666666666
1504,0,625.1733333333333
1456,0,665.6266666666667
1872,0,626.1333333333333
1456,0,686.8533333333334
1456,0,693.12
1456,0,659.7333333333333
1456,0,677.2533333333333
2280,0,668.88
1856,0,688.6133333333333
1456,0,656.1066666666667
1568,0,663.04
1912,0,673.68
1824,0,650.7466666666667
2712,0,673.0933333333334
1824,0,668.8266666666667
1456,0,665.3866666666667
1464,0,662.8533333333334
512,1264,581.9733333333334
512,1840,606.1333333333333
512,2432,751.8666666666667
512,2272,876.4533333333334
512,5232,1021.4133333333333
512,5368,1048.56
512,5320,1073.7866666666666
512,5336,1099.04
512,5688,1031.1466666666668
512,8216,1189.7866666666666
512,5816,1122.0533333333333
512,8160,1325.5733333333333
512,8208,1342.08
512,8200,1380.4533333333334
512,8200,1347.76
512,8192,1473.68
512,1224,602.24
512,1848,672.3733333333333
512,2272,794.9066666666666
512,2248,896.1866666666666
512,2192,1013.4666666666667
512,2216,1011.3866666666667
512,2480,599.7333333333333
512,1936,616.0
512,1920,699.9466666666667
512,1920,777.04
512,5248,981.52
512,2664,1078.96
512,5208,1129.8933333333334
512,5224,1199.9466666666667
512,5696,1268.5066666666667
512,5616,1197.0666666666666
512,7856,1353.6266666666668
512,7920,1314.9333333333334
512,7920,1350.7466666666667
512,7888,1394.24
512,7888,1436.0533333333333
512,7888,1514.1066666666666
512,17928,1346.0266666666666
512,5576,1451.7866666666666
512,27936,1594.2133333333334
max,min,average
2000,512,592.16
max,min,average
1128,512,612.24
max,min,average
1448,512,584.5866666666667
max,min,average
1984,512,594.5333333333333
max,min,average
1232,512,657.8666666666667
max,min,average
1464,512,669.1733333333333
max,min,average
1448,512,630.2666666666667
max,min,average
1456,512,633.68
max,min,average
2272,512,673.5466666666666
max,min,average
1432,512,638.6933333333334
max,min,average
1840,512,669.68
max,min,average
1448,512,661.36
max,min,average
1848,512,647.6533333333333
max,min,average
1504,512,655.84
max,min,average
1848,512,655.04
max,min,average
1464,512,624.9066666666666
max,min,average
2352,512,671.6
512,2440,604.5333333333333
512,2736,642.5066666666667
512,2728,754.5066666666667
512,2704,839.92
512,2680,948.16
512,2696,1026.0533333333333
512,5656,1103.44
512,5640,1093.2533333333333
512,2584,1206.7466666666667
512,2632,1243.8933333333334
512,5728,1226.4
512,5752,1032.08
512,5200,1247.36
512,5216,1213.7066666666667
512,8216,1335.92
512,1096,568.8
512,5360,589.0933333333334
512,5264,760.9066666666666
512,2112,857.5733333333334
512,5192,999.04
512,8168,1072.24
512,8192,1122.0
512,8176,1145.3866666666668
512,8224,1153.28
512,8208,1152.88
512,8200,1249.6266666666668
512,8192,1222.9333333333334
512,5376,1223.04
512,8160,1291.4933333333333
512,8144,1337.8666666666666
512,12608,1372.0266666666666
512,17832,1451.2533333333333
512,17992,1504.5066666666667
512,1624,621.9733333333334
512,1976,604.7733333333333
512,5280,752.0266666666666
512,2296,787.6266666666667
512,5024,914.9333333333333
512,5224,1003.4133333333333
512,5240,1079.68
512,5216,1117.6266666666668
512,6056,1142.5066666666667
512,6048,1162.24
512,6064,1227.12
512,6072,1286.6666666666667
512,2400,1238.5333333333333
512,5416,1198.5333333333333
512,6056,1316.0
512,6072,1382.16
512,5632,1204.56
512,5672,1270.5066666666667
512,8224,1354.1066666666666
512,18056,1499.6533333333334
512,12136,1381.8933333333334
512,12480,1699.3866666666668
512,4488,1442.1333333333334
512,14472,1864.8533333333332
512,28064,1874.0
512,1216,593.6
512,1984,598.16
512,1984,662.48
512,1352,681.36
512,1952,908.0266666666666
512,5408,973.1466666666666
512,2680,1056.5866666666666
512,2680,1075.4933333333333
512,5656,1150.2666666666667
512,5624,1159.76
512,5312,1173.0133333333333
512,5600,1268.9066666666668
512,3848,1281.36
512,5608,1351.36
512,5752,1370.2133333333334
512,5408,1298.7466666666667
512,5832,1345.04
512,7816,1474.24
512,12560,1581.0933333333332
512,17944,1725.1733333333334
512,27952,1980.2133333333334
512,37960,2379.3333333333335
512,47968,2695.12
512,42112,3259.3866666666668
512,57976,3655.28
512,5088,642.8266666666667
512,6152,698.4266666666666
512,6136,789.3066666666666
512,6176,893.6266666666667
512,6072,1012.72
512,6064,1038.2666666666667
512,6088,1063.36
512,6016,1151.44
512,6008,1228.2666666666667
512,6032,1224.6133333333332
512,6040,1244.4266666666667
512,6536,1225.44
512,6520,1272.08
512,6488,1321.68
512,7832,1381.7333333333333
512,17840,1546.32
512,27848,1825.84
512,14912,2033.5733333333333
512,4616,1341.4666666666667
512,37856,2667.9466666666667
512,47864,3219.4933333333333
512,1552,605.8133333333334
512,1912,661.28
512,1944,775.4133333333333
512,1944,857.8133333333334
512,2648,992.3733333333333
512,12656,1047.7333333333333
512,1896,1001.0933333333334
512,9720,1090.1866666666667
512,12888,1089.7866666666666
512,2400,864.7466666666667
512,22896,1206.5866666666666
512,1992,968.5866666666667
512,5880,1095.92
